title.id,firstName,lastName,dateOfBirth,circles[].id,company.id,emails[1].email,emails[1].primary,emails[2].email,phones[1].phone,phones[1].phoneType,phones[1].primary,addresses[1].street,addresses[1].city,addresses[1].zip,addresses[1].country.id,notes,fidelity,businessSector
1,Fredrick,Brandt,1971-07-21,1|2,1,hello1@test.com,TRUE,"",+33757130747,Mobile,TRUE,"29, chemin Bertrand Meyer",Guerin-sur-Coulon,06729,1,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam sollicitudin lorem faucibus, dignissim purus nec, venenatis purus. Pellentesque sed tellus rhoncus, iaculis justo nec, molestie arcu. Sed eleifend dictum purus, et convallis mauris cursus sit amet. Vivamus vel tellus auctor, mattis libero et, ornare purus. Aliquam ligula magna, vestibulum sed viverra at, mollis quis diam. Suspendisse egestas nisi vitae lectus varius sagittis. Nullam scelerisque tellus metus, at molestie orci cursus congue. Suspendisse maximus velit vitae enim viverra, in rutrum ligula varius. Ut faucibus eros ac tincidunt placerat. Orci varius natoque penatibus.",5,agriculture
2,Samina,Wright,1973-09-09,1|2,2,hello2@test.com,TRUE,"",+33-745-554-129,Office,,,,,,lectus magna fringilla urna porttitor rhoncus dolor purus non enim praesent elementum facilisis leo vel fringilla est ullamcorper eget nulla,3,education
3,Marjorie,Marshall,1975-09-29,5,"",hello3@test.com,,"",310-441-7190,Home,TRUE,,,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Eu facilisis sed odio morbi quis.",4,finance
2,Violet,Hines,1978-08-16,3,"",hello4@test.com,,hello4@test2.com,+33-745-558-801,Other,,,,,,,5,health
3,Rivka,Booth,1981-05-11,5|6|7,3,hello5@test.com,,hello5@test2.com,+16102347198,Mobile,,,,,,,0,logistics
1,Benn,Lucero,1982-03-09,2,4,hello6@test.com,FALSE,hello6@test2.com,0788221648,Office,,,,,,,0,manufacturing
2,Sidrah,Hobbs,1988-10-23,2,5,hello7@test.com,,hello7@test2.com,700-555-506,Home,FALSE,"8, boulevard Colas",Paris-la-Forêt,92922,1,,4,Logistics
3,Lucille,Gilbert,1988-11-09,2|6,6,hello8@test.com,,hello8@test2.com,,,,116 Bridge Street,GORDONSTOWN,AB45 5JZ,4,,5,IT
1,Betty,Russell,1993-08-20,1|2,5,hello9@test.com,FALSE,hello9@test2.com,+5511987654321,Office,,Rua Luís Lafraia 1541,São Vicente,11340-040,8,,3,
2,Daniele,Garcia,1994-01-25,1|2,5,hello10@test.com,,hello10@test2.com,,,,"Minghan Electronics Co., Ltd.",YaoHai,230001,6,,2,
3,Disney,Leonard,1995-12-05,5,"",hello11@test.com,,hello11@test2.com,+91 7503907302,Home,,"18, Ameya Apt, Lt Road, Dahisar",Maharashtra,400068,7,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Viverra adipiscing at in tellus integer.",1,agriculture
1,Olivier,Martinez,1997-05-18,7,"",hello12@test.com,,hello12@test2.com,+86 591 0142 5457,Other,,Zhu Hui Lu 168hao,CangLang,215006,6,vestibulum lorem,5,education
2,Vienna,Robert,1997-12-17,5|8,"",hello13@test.com,TRUE,hello13@test2.com,700-555-250,Mobile,,"2, chemin Petitjean",Bodin,07341,1,vestibulum lorem,4,finance
3,Charee,Jacques,1999-05-05,4,"",hello14@test.com,,,+14844578884,Office,TRUE,,,,,vestibulum lorem,3,health
1,Norbert,Dupont,1999-10-01,4,"",hello15@test.com,TRUE,,+1 562-540-4270,Home,,,,,,,2,logistics
2,Jeana,Salomon,1985-08-16,"",1,hello16@test.com,,,+1-202-555-0184,Other,,,,,,,3,manufacturing
3,Sherilyn,Dennis,1963-09-12,"",4,hello17@test.com,,hello17@test2.com,+32460222835,Mobile,FALSE,,,,,,5,Logistics
1,Thomas,Sydney,1960-08-22,"","",hello18@test.com,TRUE,hello18@test2.com,+32460251515,Office,,,,,,,,
2,Jenina,Abraham,1989-11-23,"","",hello19@test.com,,hello19@test2.com,+91 11 3456–7890,Home,,,,,,,4,
1,David,Joy,1978-12-25,"","",hello20@test.com,,hello20@test2.com,+4915503173420,Other,FALSE,,,,,,,
1,Michael,Quarles,1996-08-17,3|4,2,hello21@test.com,FALSE,,+336-752-8359,Mobile,TRUE,3389 Jones Avenue,NC,27292,5,,5,finance
1,Milano,Ryberg,1984-01-03,1|6|7,3,hello22@test.com,TRUE,hello22@test2.com,+44-7801-234567,Office,FALSE,"17 Kingsway",London,SW1A 1AA,4,Lorem ipsum dolor sit amet,4,technology
3,Georgina,Zalewski,1990-07-14,3|8,5,hello23@test.com,,hello23@test2.com,+86-10-1234-5678,Mobile,TRUE,"45 Dongzhimen",Beijing,100600,6,Orci varius natoque penatibus,3,education
1,Tomas,Guerra,1986-12-08,4|7,2,hello24@test.com,FALSE,hello24@test2.com,+33-673-981-245,Mobile,FALSE,"15 Rue de Lyon",Paris,75012,1,Nullam scelerisque tellus metus,2,finance
2,Sybille,Lang,1992-03-17,5|8,6,hello25@test.com,,hello25@test2.com,+49-30-1234-5678,Home,FALSE,"Hauptstr. 23",Berlin,10115,2,Suspendisse maximus velit vitae enim viverra,5,manufacturing
1,Iker,Rabasa,1993-11-22,1|4,1,hello26@test.com,,hello26@test2.com,+34-91-1234-567,Other,FALSE,"Calle Gran Via",Madrid,28013,3,Pellentesque sed tellus rhoncus,1,logistics
1,Felix,Santana,1994-05-29,2|6,4,hello27@test.com,TRUE,hello27@test2.com,+1-415-555-2345,Mobile,TRUE,"49 Powell St",San Francisco,94102,5,Vivamus vel tellus auctor,3,health
