jsonModel,name,status,customerFirstName,customerLastName,vehicleName,startDate,endDate,pickupLocation,returnLocation,dailyRate,estimatedDays,totalAmount,deposit,startMileage,endMileage,extraNames,notes,importId
RentalAgreement,RA-2026-0001,in-progress,Fredrick,Brandt,Volkswagen Tiguan,2026-05-01T10:00:00,2026-05-08T18:00:00,Paris CDG Airport,Paris CDG Airport,85.00,7,595.00,500.00,11800,,GPS|Child Seat,Family vacation rental,1
RentalAgreement,RA-2026-0002,confirmed,Samina,Wright,Tesla Model 3,2026-05-10T09:00:00,2026-05-15T17:00:00,Lyon Part-Dieu,Lyon Part-Dieu,95.00,5,475.00,600.00,,,GPS|Premium Insurance,Business trip - confirmed pickup,2
RentalAgreement,RA-2026-0003,draft,Marjorie,Marshall,Toyota Yaris,2026-06-01T14:00:00,2026-06-03T14:00:00,Marseille Saint-Charles,Nice Airport,50.00,2,100.00,200.00,,,Additional Driver,Weekend getaway - awaiting customer confirmation,3
RentalAgreement,RA-2026-0004,returned,Violet,Hines,Renault Clio,2026-04-10T08:00:00,2026-04-15T20:00:00,Bordeaux Centre,Bordeaux Centre,45.00,5,225.00,300.00,37500,38120,GPS,City rental - returned without issues,4
RentalAgreement,RA-2026-0005,cancelled,Benn,Lucero,BMW Serie 5,2026-05-20T10:00:00,2026-05-22T18:00:00,Paris Orly,Paris Orly,150.00,2,300.00,1000.00,,,Premium Insurance|WiFi Hotspot,Cancelled by customer,5
RentalAgreement,RA-2026-0006,returned,Sidrah,Hobbs,Tesla Model 3,2026-04-01T09:00:00,2026-04-05T18:00:00,Paris CDG Airport,Paris CDG Airport,95.00,4,380.00,500.00,24500,25000,GPS|Premium Insurance,Short business trip in Paris,6
RentalAgreement,RA-2026-0007,returned,Lucille,Gilbert,Renault Clio,2026-03-15T10:00:00,2026-03-22T17:00:00,Paris CDG Airport,Paris CDG Airport,45.00,7,315.00,250.00,37200,38000,GPS,City compact rental for a week,7
RentalAgreement,RA-2026-0008,returned,Betty,Russell,Volkswagen Tiguan,2026-02-10T14:00:00,2026-02-17T14:00:00,Brussels Midi,Brussels Midi,85.00,7,595.00,500.00,11200,11800,GPS|Child Seat,Family weekly rental,8
RentalAgreement,RA-2026-0009,returned,Daniele,Garcia,BMW Serie 5,2026-01-20T08:00:00,2026-01-25T20:00:00,Berlin Mitte,Berlin Mitte,150.00,5,750.00,1000.00,7800,8000,Premium Insurance,Executive trip,9
RentalAgreement,RA-2026-0010,returned,Disney,Leonard,Toyota Yaris,2026-03-05T11:00:00,2026-03-10T16:00:00,Madrid Atocha,Madrid Atocha,50.00,5,250.00,250.00,17800,18000,GPS,Short city rental,10
RentalAgreement,RA-2026-0011,returned,Olivier,Martinez,Peugeot 208,2025-12-20T09:00:00,2026-01-02T18:00:00,Paris CDG Airport,Paris CDG Airport,42.00,13,546.00,300.00,20800,22000,GPS|Snow Chains,Holiday season rental,11
RentalAgreement,RA-2026-0012,returned,Vienna,Robert,Citroën C3,2026-04-10T10:00:00,2026-04-15T17:00:00,Paris Orly,Paris Orly,40.00,5,200.00,250.00,27500,28000,Additional Driver,Short trip,12
RentalAgreement,RA-2026-0013,returned,Charee,Jacques,Audi A3,2025-11-15T09:00:00,2025-11-20T18:00:00,Paris Orly,Paris Orly,75.00,5,375.00,400.00,14500,15000,GPS|Premium Insurance,Autumn business trip,13
RentalAgreement,RA-2026-0014,returned,Norbert,Dupont,Peugeot 3008,2026-02-25T11:00:00,2026-03-02T17:00:00,Paris Gare-de-Lyon,Paris Gare-de-Lyon,80.00,5,400.00,500.00,8500,9000,GPS|Child Seat,Family weekend,14
RentalAgreement,RA-2026-0015,returned,Jeana,Salomon,Renault Megane,2026-01-10T08:00:00,2026-01-15T20:00:00,Lyon Part-Dieu,Lyon Part-Dieu,55.00,5,275.00,300.00,17500,18000,GPS,Winter business trip,15
RentalAgreement,RA-2026-0016,returned,Sherilyn,Dennis,Peugeot 508,2025-12-05T10:00:00,2025-12-10T18:00:00,Marseille Saint-Charles,Marseille Saint-Charles,95.00,5,475.00,500.00,20500,21000,Premium Insurance,Coastal business trip,16
RentalAgreement,RA-2026-0017,returned,Thomas,Sydney,Audi Q3,2026-03-20T09:00:00,2026-03-25T18:00:00,Nice Airport,Nice Airport,90.00,5,450.00,600.00,31500,32000,GPS|WiFi Hotspot,Cote d'Azur tour,17
RentalAgreement,RA-2026-0018,returned,Jenina,Abraham,Renault Captur,2026-04-20T11:00:00,2026-04-27T16:00:00,Bordeaux Centre,Bordeaux Centre,65.00,7,455.00,400.00,18500,19000,GPS|Child Seat,Family vineyard tour,18
RentalAgreement,RA-2026-0019,returned,David,Joy,Mercedes Class C,2026-02-15T10:00:00,2026-02-20T18:00:00,Brussels Midi,Brussels Midi,110.00,5,550.00,600.00,9000,9500,GPS|Premium Insurance,Business in Brussels,19
