"key","message","comment","context"
"ATI","TTC",,
"Aggregate sales","Ventes globales",,
"All","Tout",,
"All Currencies","Les Devises",,
"All Taxes","Les Taxes",,
"Amount","Montant",,
"Attributes","Attributs",,
"Black","Noir",,
"Blue","Bleu",,
"Brown","Marron",,
"Canceled","Annulé",,
"Category","Catégorie",,
"Category 1","Catégorie 1",,
"Category 2","Catégorie 2",,
"Closed","Fermé",,
"Code","Code",,
"Color","Couleur",,
"Color variants","Variantes de couleur",,
"Configuration","Configuration",,
"Confirm date","Date de confirmation",,
"Confirm date should be after order date.","La date de confirmation doit être ultérieure à la date de commande.",,
"Confirmed","Confirmé",,
"Create Partner...","Créer Contact...",,
"Create Partner... (12)","Créer Contact... (12)",,
"Create Partner... (13)","Créer Contact... (13)",,
"Create Partner... (22)","Créer Contact... (22)",,
"Create Sale Order...","Créer Commande...",,
"Create Sale Order... (13)","Créer Commande... (13)",,
"Create Sale Order... (21)","Créer Commande... (21)",,
"Cur.","Dev.",,
"Currencies","Devises",,
"Currency","Devise",,
"Customer","Client",,
"Decimal places","Décimales",,
"Draft","Brouillon",,
"Export","Exporter",,
"Filter Sale Orders","Filtres Commandes",,
"Gray","Gris",,
"Green","Vert",,
"Hello ${__self__.customer.fullName} from ${_modelTitle}","Bonjour ${__self__.customer.fullName} depuis ${_modelTitle}",,
"Hello ${__self__.fullName} from ${_modelTitle}","Bonjour ${__self__.fullName} depuis ${_modelTitle}",,
"High Value (>= 1000)","Grande valeur (>= 1000)",,
"Image","Image",,
"Important",,,
"Items","Articles",,
"Monthly","Mensuelle",,
"Name","Nom",,
"No Sale Order Items. Would you like to continue?","Aucun article. Voulez-vous continuer?",,
"No sales","Pas de ventes",,
"Not Confirmed","Non confirmé",,
"Notes","Notes",,
"Open","Ouvert",,
"Orange","Orange",,
"Order","Commande",,
"Order Date is in future.","Date de commande dans le futur",,
"Order Details","Détails",,
"Order confirmed","Commande confirmée",,
"Order created","Commande créée",,
"Order date","Date de commande",,
"Order status","État de la commande",,
"Ordered Item","Articles",,
"Ordered Items","Articles",,
"Orders","Les Commandes",,
"Overview","Général",,
"Parent","Parent",,
"Pink","Rose",,
"Price","Prix",,
"Print","Imprimer",,
"Product","Produit",,
"Product Categories","Catégories de produits",,
"Product Category","Catégorie de produit",,
"Product created","Creation du produit",,
"Product sheet","Fiche produit",,
"Product type","Type de produit",,
"Products","Produits",,
"Purple","Violet",,
"Quantity","Quantité",,
"Quotations","Devis de commande",,
"Rate","Taux",,
"Red","Rouge",,
"Sale Order","Commande",,
"Sale Orders","Commandes",,
"Sales Gauge (this month)","Jauge de vente (ce mois-ci)",,
"Sales Management","Ventes",,
"Sales Search","Recherche commande...",,
"Sales Search...","Recherche commande...",,
"Sales Timeline","Calendrier des ventes",,
"Sales by customer","Chiffre d'affaires par client",,
"Sales per customer","Chiffre d'affaires par client",,
"Sales per month","Chiffre d'affaires par mois",,
"Sales this month","CA ce mois",,
"Sales today","CA aujourd'hui",,
"Sequence",,,
"Service","Service",,
"Show me","Montrez-moi",,
"Status","État",,
"Sub Category 11","Sous-catégorie 11",,
"Sub Category 12","Sous-catégorie 12",,
"Sub Category 13","Sous-catégorie 13",,
"Sub Category 21","Sous-catégorie 21",,
"Sub Category 22","Sous-catégorie 22",,
"Symbol","Symbole",,
"Tax","Taxe",,
"Tax amount","Total Taxes",,
"Taxes","Les Taxes",,
"Today","Aujourd'hui",,
"Top ten customers this year","Dix meilleurs clients de l’année",,
"Total amount","Montant Total",,
"Total sale","Montant ventes",,
"Total sales","Ventes totales",,
"Total sales of the month","Montant ventes du mois",,
"Type","Type",,
"WT","HT",,
"White","Blanc",,
"Yellow","Jaune",,
